schema_version,study_id,expert_id,scenario_id,candidate_id,task,rank,unacceptable,confidence,reason
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-E73D526ED443,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-FD3EA3441A14,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-617BF788035B,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-733E2ACDFEA8,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-8DE21847B291,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-B531F939F245,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-BCBB584856F2,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-C78017BEA783,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-E73D526ED443,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-F61FDF646970,OUT-FD3EA3441A14,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-0AC8C0FB68E9,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-550D17C95E0E,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-55D98B0D7386,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-7DFE348C7AD2,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-7EE9D42DD762,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-BD974D164A43,outcome,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-0AC8C0FB68E9,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-550D17C95E0E,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-55D98B0D7386,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-7DFE348C7AD2,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-7EE9D42DD762,transition,,false,,
flowcld.expert-ranking.v1,STUDY-4F0E8A816F1B,,SCN-FA9AB3A3E79A,OUT-BD974D164A43,transition,,false,,
